Id,Category,Name,Phone,Imageurl,Address,Latitude,Longitude,Rating
1,Escape Games,Adventure Rooms - Dublin,+353 87 761 1808,https://s3-media4.fl.yelpcdn.com/bphoto/WOfPb5MjfY7sNcVjITxRJg/o.jpg,"['6-7 Little Britain Street', ""Campbell's Court"", 'Dublin 7', 'Republic of Ireland']",53.34938,-6.26999,5.0
2,Do-It-Yourself Food,The Butler's Pantry,+353 1 230 1624,,"['19 Sandycove Road', 'Sandycove', 'Sandycove, A96 H2N1', 'Republic of Ireland']",53.28583,-6.11449,4.0
3,Shopping Centers,Tiger,,https://s3-media3.fl.yelpcdn.com/bphoto/7sPIyuXEzamGu06ySY2Jvw/o.jpg,"['36-50 Nassau Street', 'Dublin 2', 'Republic of Ireland']",53.34284,-6.25828,4.5
4,Bike Rentals,360 Cycles,+353 1 853 3107,https://s3-media4.fl.yelpcdn.com/bphoto/uWp3YRes2ceKLU58V2C0kw/o.jpg,"['360 Clontarf Road', 'Clontarf', 'Dublin 3', 'Republic of Ireland']",53.36236,-6.1795,5.0
5,Bowling,Aer Lingus Social Athletic Association,,https://s3-media4.fl.yelpcdn.com/bphoto/bx12q9ofrfmhjKKem35uHA/o.jpg,"['Dublin Airport', 'Old Airport Road', 'Toberbunny, Co. Dublin', 'Republic of Ireland']",53.4280014038086,-6.22907018661499,5.0
6,Arcades,Bray Bowl,+353 1 286 4455,https://s3-media3.fl.yelpcdn.com/bphoto/P4YhWzRFpjDcU0LDbdx0Og/o.jpg,"['Quinsborough Rd', 'Bray, Co. Wicklow', 'Republic of Ireland']",53.2049470435707,-6.10214125421453,4.0
7,Fishing,ABC Fishing Tackle,+353 1 873 1525,https://s3-media4.fl.yelpcdn.com/bphoto/G7hqe1bdQLfOTaUIy_BXJw/o.jpg,"[""15 Mary's Abbey"", 'Dublin 7', 'Republic of Ireland']",53.3471603,-6.2701201,5.0
8,Sailing,Howth Pier,,https://s3-media1.fl.yelpcdn.com/bphoto/PlrUxKFV657H0vk0PYViOg/o.jpg,"['Howth Road', 'Dublin', 'Republic of Ireland']",53.3915109336643,-6.07054872412695,3.0
9,Yoga,Aerial Yoga Dublin,+353 85 723 9699,https://s3-media1.fl.yelpcdn.com/bphoto/znLM5ULSpUOJ033OFrMVaw/o.jpg,"['7 Dublin Road', 'Smithfield Market', 'Dublin 7', 'Republic of Ireland']",53.3495303477403,-6.2781697244385,5.0
10,Art Galleries,Jam Art Factory,+353 1 616 5671,https://s3-media1.fl.yelpcdn.com/bphoto/Yz29geCJWiihCz3dfzHh2g/o.jpg,"['64/65 Patrick Street', 'Dublin 8', 'Republic of Ireland']",53.341103,-6.2719744,5.0
11,Museums,Jam Art Factory,+353 1 616 5671,https://s3-media1.fl.yelpcdn.com/bphoto/Yz29geCJWiihCz3dfzHh2g/o.jpg,"['64/65 Patrick Street', 'Dublin 8', 'Republic of Ireland']",53.341103,-6.2719744,5.0
